P0001,Fuel Volume Regulator Control Circuit / Open
P0002,Fuel Volume Regulator Control Circuit Range/Performance
P0003,Fuel Volume Regulator Control Circuit Low
P0004,Fuel Volume Regulator Control Circuit High
P0005,Fuel Shutoff Valve A Control Circuit / Open
P0006,Fuel Shutoff Valve A Control Circuit Low
P0007,Fuel Shutoff Valve A Control Circuit High
P0008,Engine Position System Performance - Bank 1
P0009,Engine Position System Performance - Bank 2
P000A,Intake (A) Camshaft Position Slow Response Bank 1
P000B,Exhaust (B) Camshaft Position Slow Response Bank 1
P000C,Intake (A) Camshaft Position Slow Response Bank 2
P000D,Exhaust (B) Camshaft Position Slow Response Bank 2
P000E,Fuel Volume Regulator Control Exceeded Learning Limit
P000F,Fuel System Over Pressure Relief Valve Activated
P0010,Intake (A) Camshaft Position Actuator Circuit / Open (Bank 1)
P0011,Intake (A) Camshaft Position Timing - Over-Advanced (Bank 1)
P0012,Intake (A) Camshaft Position Timing - Over-Retarded (Bank 1)
P0013,Exhaust (B) Camshaft Position Actuator Circuit / Open (Bank 1)
P0014,Exhaust (B) Camshaft Position Timing - Over-Advanced (Bank 1)
P0015,Exhaust (B) Camshaft Position Timing - Over-Retarded (Bank 1)
P0016,Crankshaft Position - Camshaft Position Correlation - Bank 1 Sensor A
P0017,Crankshaft Position - Camshaft Position Correlation - Bank 1 Sensor B
P0018,Crankshaft Position - Camshaft Position Correlation - Bank 2 Sensor A
P0019,Crankshaft Position - Camshaft Position Correlation - Bank 2 Sensor B
P001A,Intake (A) Cam Profile Control Circuit / Open (Bank 1)
P001B,Intake (A) Cam Profile Control Circuit Low (Bank 1)
P001C,Intake (A) Cam Profile Control Circuit High (Bank 1)
P001D,Intake (A) Cam Profile Control Circuit / Open (Bank 2)
P001E,Intake (A) Cam Profile Control Circuit Low (Bank 2)
P001F,Intake (A) Cam Profile Control Circuit High (Bank 2)
P0020,Intake (A) Camshaft Position Actuator Circuit / Open (Bank 2)
P0021,Intake (A) Camshaft Position Timing - Over-Advanced (Bank 2)
P0022,Intake (A) Camshaft Position Timing - Over-Retarded (Bank 2)
P0023,Exhaust (B) Camshaft Position Actuator Circuit / Open (Bank 2)
P0024,Exhaust (B) Camshaft Position Timing - Over-Advanced (Bank 2)
P0025,Exhaust (B) Camshaft Position Timing - Over-Retarded (Bank 2)
P0026,Intake Valve Control Solenoid Circuit Range/Performance (Bank 1)
P0027,Exhaust Valve Control Solenoid Circuit Range/Performance (Bank 1)
P0028,Intake Valve Control Solenoid Circuit Range/Performance (Bank 2)
